SYMBOL,LAST,CLOSE,TREND,MOVING TREND,10 DAY TWEE, 100 DAY TWEE
GOOG,2018-01-26,1175.84,0.2,0.11,4.18,20.97
MMM,2018-01-26,259.77,0.19,0.1,6.15,21.98
A,2018-01-23,74.07,0.17,0.13,4.31,19.25
AA,2018-01-23,52.55,0.23,0.19,-1.52,21.44
AAAP,2018-01-23,82.25,0.31,0.34,0.32,36.17
AAN,2018-01-23,42.3,0.1,0.1,3.27,12.9
AAP,2018-01-23,118.42,0.06,-0.14,6.21,8.95
ABBV,2018-01-23,106.96,0.26,0.17,5.06,28.68
ABC,2018-01-23,103.63,0.19,0.01,6.39,20.89
ABLX,2018-01-23,43.96,2.52,2.71,N/A,N/A
ABX,2018-01-23,14.75,-0.07,-0.05,0.41,-5.86
ACH,2018-01-23,18.69,0.11,0.19,7.7,106.89
ADBE,2018-01-23,202.82,0.28,0.18,7.48,32.74
ADM,2018-01-23,42.73,0.02,-0.02,4.26,13.0
ADSW,2018-01-23,24.41,0.04,0.03,36.24,44.04
AET,2018-01-23,189.53,0.17,0.13,2.46,18.32
AFL,2018-01-23,88.29,0.07,0.08,32.11,39.45
AGI,2018-01-23,6.14,-0.12,-0.04,-3.16,-11.78
ALGN,2018-01-23,276.94,0.42,0.34,8.57,52.9
ALKS,2018-01-23,59.45,0.1,-0.0,5.65,12.82
ALNY,2018-01-23,138.8,0.34,0.3,7.95,46.53
ALSN,2018-01-23,45.11,0.15,0.1,34.22,49.05
AMAT,2018-01-23,58.18,0.2,0.2,4.83,24.29
AMCX,2018-01-23,55.46,-0.01,-0.03,2.75,1.2
AMD,2018-01-23,12.99,0.09,0.11,8.58,17.1
AMZN,2018-01-23,1353.35,0.29,0.15,7.37,32.71
ANET,2018-01-23,276.21,0.45,0.32,8.12,54.46
ANY,2018-01-23,2.38,-0.53,-0.56,-7.71,-40.11
AON,2018-01-23,138.63,0.02,0.07,1.67,4.26
APPN,2018-01-23,34.0,0.42,0.21,-1.59,47.58
APVO,2018-01-23,3.67,0.22,0.06,-7.73,25.29
ARGX,2018-01-23,72.89,1.17,0.3,19.32,311.05
ARRY,2018-01-23,16.36,0.53,0.21,22.61,72.84
ASTC,2018-01-23,3.16,-0.32,-0.27,-9.75,-30.94
ATHN,2018-01-23,130.0,-0.01,0.02,0.03,43.82
ATVI,2018-01-23,72.37,0.19,0.15,6.02,23.61
AUY,2018-01-23,3.52,0.21,-0.05,8.92,96.51
AVGO,2018-01-23,264.15,0.06,0.13,-1.56,6.33
AVT,2018-01-23,43.07,0.06,-0.02,2.97,24.16
AXTA,2018-01-23,31.12,-0.01,0.04,-4.24,-2.22
AYI,2018-01-23,167.46,-0.08,-0.09,-0.72,-7.45
AZO,2018-01-23,789.16,0.2,-0.01,2.97,18.51
B,2018-01-23,66.92,0.08,0.14,0.07,9.17
BABA,2018-01-23,191.92,0.19,0.22,4.45,24.7
BAC,2018-01-23,32.13,0.23,0.14,4.47,25.44
BBBY,2018-01-23,23.89,-0.15,-0.22,21.71,18.58
BBD,2018-01-23,11.83,0.17,0.1,7.4,21.14
BBVA,2018-01-23,9.25,0.1,0.07,3.76,12.69
BCO,2018-01-23,87.9,0.19,0.22,41.05,62.21
BEDU,2018-01-23,21.44,0.13,0.16,3.21,17.03
BG,2018-01-23,81.77,0.14,-0.01,13.35,21.8
BGCP,2018-01-23,14.91,0.07,0.15,-1.36,7.59
BGNE,2018-01-23,127.49,0.64,0.39,20.74,93.04
BGS,2018-01-23,33.25,-0.08,-0.07,6.94,182.71
BHGE,2018-01-23,36.04,-0.09,-0.17,3.98,-5.05
BIDU,2018-01-23,256.66,0.14,0.12,1.88,14.8
BITA,2018-01-23,39.54,0.1,0.13,9.13,19.12
BKU,2018-01-23,43.65,0.19,0.05,4.22,19.88
BLKB,2018-01-23,96.64,0.08,0.12,0.37,8.87
BLPH,2018-01-23,2.45,0.43,0.11,5.44,64.67
BMS,2018-01-23,46.58,-0.01,-0.01,-2.13,-2.09
BMY,2018-01-23,63.58,0.05,0.02,1.99,6.04
BNTC,2018-01-23,3.52,0.29,0.08,N/A,N/A
BPMC,2018-01-23,87.9,0.43,0.33,12.04,58.51
BPOP,2018-01-23,41.67,0.1,-0.02,N/A,N/A
BSBR,2018-01-23,10.45,0.15,0.09,3.95,17.29
BSMX,2018-01-23,7.72,-0.12,-0.03,34.69,83.81
BSX,2018-01-23,27.97,0.04,0.05,3.43,41.29
BYD,2018-01-23,38.81,0.36,0.19,7.07,39.98
C,2018-01-23,78.89,0.13,0.12,2.55,14.96
CAH,2018-01-23,73.93,0.08,-0.07,7.89,35.38
CAPR,2018-01-23,1.69,-0.17,-0.14,135.91,93.51
CATB,2018-01-23,1.56,-0.22,-0.24,207.63,206.56
CBPO,2018-01-23,85.62,-0.09,-0.11,4.85,-4.48
CCJ,2018-01-23,9.64,-0.03,-0.04,2.76,27.69
CCMP,2018-01-23,103.03,0.23,0.18,3.46,24.92
CDNA,2018-01-23,6.38,0.37,0.37,-6.3,49.64
CEA,2018-01-23,40.91,0.38,0.08,6.33,38.31
CELG,2018-01-23,106.28,-0.11,-0.02,1.25,-7.21
CENT,2018-01-23,40.69,0.12,0.12,7.53,18.98
CENTA,2018-01-23,39.47,0.13,0.13,7.43,19.76
CERN,2018-01-23,69.85,0.04,0.06,-0.6,39.39
CGNX,2018-01-23,70.0,0.26,0.28,4.05,31.4
CHE,2018-01-23,269.4,0.25,0.15,4.24,26.95
CHK,2018-01-23,4.07,-0.1,-0.15,15.7,73.65
CIB,2018-01-23,43.15,0.03,0.02,1.26,3.81
CIG,2018-01-23,2.04,-0.16,-0.07,2.61,27.03
CINF,2018-01-23,77.23,0.04,0.02,3.75,40.87
CL,2018-01-23,77.17,0.05,0.02,1.29,5.3
CLF,2018-01-23,8.38,0.14,0.02,3.33,15.37
CLH,2018-01-23,57.65,0.05,0.01,5.27,8.46
CLNS,2018-01-23,10.24,-0.2,-0.06,-6.2,-20.13
CLRB,2018-01-23,1.18,-0.34,-0.31,24.36,-0.46
CMCM,2018-01-23,16.5,0.45,0.02,11.31,77.03
CMCSA,2018-01-23,42.83,0.11,0.04,3.07,11.69
CNC,2018-01-23,112.33,0.24,0.16,4.3,26.19
COG,2018-01-23,28.5,0.08,0.06,17.45,41.92
CPA,2018-01-23,138.12,0.11,0.14,0.54,12.06
CPG,2018-01-23,8.95,0.04,-0.16,6.9,7.43
CRUS,2018-01-23,52.0,-0.08,0.01,-3.38,-8.44
CSCO,2018-01-23,42.12,0.21,0.08,4.84,22.17
CTL,2018-01-23,17.77,-0.12,-0.15,38.78,19.47
CUBE,2018-01-23,27.89,0.03,0.02,-0.32,2.73
CUR,2018-01-23,2.0,-0.11,-0.05,2.47,16.68
CVA,2018-01-23,16.98,0.1,0.01,0.82,9.0
CVNA,2018-01-23,20.99,0.21,0.09,1.02,27.88
CVS,2018-01-23,80.7,0.04,-0.05,3.46,5.07
CVX,2018-01-23,132.56,0.14,0.06,35.17,47.67
CY,2018-01-23,17.9,0.2,0.11,6.73,23.46
CZR,2018-01-23,14.0,0.16,0.13,38.89,54.8
DCTH,2018-01-23,0.03,-0.98,-0.07,N/A,N/A
DEPO,2018-01-23,8.14,-0.13,-0.28,-1.47,-8.35
DFFN,2018-01-23,0.71,-0.68,-0.45,-35.65,-68.68
DISCA,2018-01-23,26.23,0.13,-0.09,9.42,17.96
DISCK,2018-01-23,24.99,0.13,-0.1,10.16,54.25
DISH,2018-01-23,46.46,-0.15,-0.06,-3.63,-10.81
^DJI,2018-01-23,26246.19,0.15,0.09,2.81,15.94
DLPH,2018-01-23,56.34,-0.28,-0.04,-2.42,-24.08
DLR,2018-01-23,111.64,-0.02,0.05,0.95,-0.24
DLX,2018-01-23,78.18,0.08,0.03,1.65,8.52
DORM,2018-01-23,75.03,0.05,0.0,6.29,9.04
DST,2018-01-23,83.75,0.38,0.05,50.29,83.14
DVA,2018-01-23,79.54,0.22,0.01,4.68,22.23
DVMT,2018-01-23,89.5,0.2,0.16,3.98,23.62
DWDP,2018-01-23,76.35,0.12,0.09,83.07,88.9
DXTR,2018-01-23,0.04,-0.91,-0.69,-20.47,-81.93
EBAY,2018-01-23,39.7,0.09,0.08,2.66,11.06
EBIO,2018-01-23,0.99,-0.25,-0.31,17.63,-6.43
EBR,2018-01-23,5.75,-0.0,0.07,35.89,32.66
EC,2018-01-23,18.79,0.65,0.16,15.68,73.71
ECA,2018-01-23,13.74,0.2,0.08,2.51,19.7
ELLI,2018-01-23,98.22,0.05,-0.01,3.49,7.12
ENLK,2018-01-23,18.21,0.1,-0.02,6.28,123.77
EQT,2018-01-23,58.7,-0.04,-0.04,1.57,-2.74
ERF,2018-01-23,11.16,0.23,0.09,6.83,25.78
ERJ,2018-01-23,24.33,0.12,0.01,-0.59,10.02
ESRX,2018-01-23,81.64,0.21,0.01,4.79,21.59
ETE,2018-01-23,19.18,0.09,-0.0,7.98,86.12
ETP,2018-01-23,20.65,0.04,-0.12,6.78,7.22
ETSY,2018-01-23,20.25,0.22,0.16,22.93,61.36
EVOK,2018-01-23,2.71,-0.04,-0.05,4.31,0.66
EXAS,2018-01-23,51.25,0.16,0.38,-2.7,23.34
EXPE,2018-01-23,128.89,-0.04,0.01,1.03,-1.91
EYEG,2018-01-23,1.25,-0.12,-0.22,73.42,107.0
